id,publishedAt,channelId,title,channelTitle,tags,duration,dimension,definition,caption,licensedContent,contentRating,projection,viewCount,likeCount,favoriteCount,commentCount
tBOQecZij-w,2023-11-12T13:40:11Z,UCFMEYTv6N64hIL9FlQ_hxBw,"2 Ngày 1 Đêm Mùa 2 | Tập 38: Trường Giang đóng vai kẻ phản diện, HIEUTHUHAI bị đưa vào tròng",ĐÔNG TÂY PROMOTION OFFICIAL,"['dong tay promotion', 'đông tây promotion', 'htv', '2 ngày 1 đêm', '2 ngay 1 dem', '2 ngày 1 đêm việt nam', '2 ngay 1 dem viet nam', '2 days 1 night', '2N1Đ', 'chương trình thực tế 2023', 'trường giang', 'truong giang', 'kiều minh tuấn', 'cris phan', 'dương lâm', 'lê dương bảo lâm', 'ngô kiến huy', 'HIEUTHUHAI', 'le duong bao lam', '2 ngày 1 đêm full', '2 ngày 1 đêm mùa 2', '2 ngay 1 dem mua 2', '2 ngày 1 đêm mùa 2 tập 38', '2 ngày 1 đêm tập 38', '2 ngay 1 dem tap 38', '2 ngay 1 dem mùa 2 tap 38', 'bray', 'bigdaddy', 'b ray']",PT1H28M28S,2d,hd,false,True,{},rectangular,6676881,65085,0,3289
WvQ-d5_0kUE,2023-11-16T13:11:05Z,UCljFFNaQoJWeP91Bz4m_3bw,🔴TRỰC TIẾP: PHILIPPINES - VIỆT NAM | BẢNG F - VÒNG LOẠI 2 WORLD CUP 2026 | FPT BÓNG ĐÁ VIỆT,FPT Bóng Đá Việt,"['fpt bóng đá việt', 'trực tiếp bóng đá hôm nay', 'trực tiếp bóng đá', 'philippines việt nam', 'trực tiếp philippines - việt nam', 'trực tiếp philippines việt nam', 'trực tiếp philippines vs việt nam', 'trực tiếp philippines việt nam hôm nay', 'philippines vs việt nam', 'philippines - việt nam', 'trực tiếp việt nam', 'trực tiếp bóng đá việt nam', 'trực tiếp bóng đá mới nhất hôm nay', 'trực tiếp', 'trực tiếp việt nam hôm nay', 'vòng loại world cup', 'trực tiếp vòng loại world cup', 'việt nam vòng loại world cup']",PT2H59M,2d,hd,false,True,{},rectangular,3224333,,0,264
v_5lsOmBOP0,2023-11-16T13:11:44Z,UCbkllEQivzBHCkaQX-w4N3Q,"Highlights: Philippines - Việt Nam | Văn Toàn giải hạn, Đình Bắc lập siêu phẩm, khởi đầu thuận lợi",BÓNG ĐÁ VIỆT NAM,"['bóng đá việt nam', 'highlights bóng đá', 'highlights', 'highlights philippines việt nam', 'highlights philippines vs việt nam', 'highlights philippines - việt nam', 'philippines việt nam', 'philippines - việt nam', 'philippines vs việt nam', 'highlights việt nam', 'highlights vòng loại world cup', 'việt nam vòng loại world cup', 'philippines việt nam vòng loại wc', 'việt nam', 'đội tuyển việt nam', 'highlights bóng đá hôm nay', 'highlights bóng đá mới nhất', 'highlights hôm nay']",PT11M27S,2d,hd,false,True,{},rectangular,1325976,7935,0,1354
HOnKnQ5tCQU,2023-11-12T12:22:14Z,UChG2EWuXoW7Tgof35WjbsnQ,T1 vs JDG (BO5) | CKTG 2023 - BÁN KẾT 2,Vietnam Championship Series - LMHT,"['LMHT', 'VCS', 'VCS LMHT', 'Liên Minh Huyền Thoại', 'VCS Liên Minh Huyền Thoại', 'giải đấu VCS', 'LoL', 'VCS LoL', 'Esports', 'LMHT Esports', 'VCS esports', 'giải đấu liên minh huyền thoại', 'giải đấu liên minh', 'giải đấu LoL', 'tuyển thủ Liên Minh Huyền Thoại', 'tuyển thủ LoL', 'tuyển thủ VCS']",PT4H59M24S,2d,hd,false,True,{},rectangular,4143440,48607,0,682
QR-e-UJ0lQQ,2023-11-16T10:30:08Z,UCKl0tA90oEArasOGzp8I41g,𝐓𝐨𝐧𝐲 | Thử Thách BẺ GẬY LÒ XO 💪 𝙋𝙤𝙬𝙚𝙧 𝙏𝙬𝙞𝙨𝙩𝙚𝙧,TonyTV,"['tony', 'tonytv', 'teamtony', 'tony vlog', 'be lo xo', 'power twister', 'gay lo xo', 'do long dao', 'do long dao 100kg', 'thu thach be lo xo', 'thu thach be gay lo xo', 'cuoc thi be lo xo', 'cuoc thi suc manh be gay lo xo', 'thanh lò xo mạnh nhất', 'thanh lò xo', 'gậy lò xo', 'thử thách bẻ gậy lò xo nhận thưởng', 'bẻ gậy lò xo lấy tiền', 'power twister challenge', 'huong dan be gay lo xo', 'gậy lò xo tự chế', 'lực sĩ bẻ gậy lò xo', 'chinh phục gậy lò xo 120kg', 'gậy lò xo 200kg', 'tony dai chien', 'luc si dai chien']",PT29M,2d,hd,false,True,{},rectangular,2035348,24387,0,1733
zQSKL8Ehwjw,2023-11-05T13:40:09Z,UCFMEYTv6N64hIL9FlQ_hxBw,"2 Ngày 1 Đêm Mùa 2 | Tập 37: Cris Phan thể hiện KungFu ‘bà ngoại’, BigDaddy tố bị “hành hung”",ĐÔNG TÂY PROMOTION OFFICIAL,"['dong tay promotion', 'đông tây promotion', 'htv', '2 ngày 1 đêm', '2 ngay 1 dem', '2 ngày 1 đêm việt nam', '2 ngay 1 dem viet nam', '2 days 1 night', '2N1Đ', 'chương trình thực tế 2023', 'trường giang', 'truong giang', 'kiều minh tuấn', 'cris phan', 'dương lâm', 'lê dương bảo lâm', 'ngô kiến huy', 'HIEUTHUHAI', 'le duong bao lam', '2 ngày 1 đêm full', '2 ngày 1 đêm mùa 2', '2 ngay 1 dem mua 2', '2 ngày 1 đêm mùa 2 tập 37', '2 ngày 1 đêm tập 37', '2 ngay 1 dem tap 37', '2 ngay 1 dem mùa 2 tap 37', 'bray', 'bigdaddy', 'b ray']",PT1H40M43S,2d,hd,false,True,{},rectangular,8568181,76909,0,4461
3Iez4UcKujE,2023-11-16T22:32:19Z,UCbxWTKqVmD_AMeOIcKFhQ3Q,"HIGHLIGHTS LIECHTENSTEIN - BỒ ĐÀO NHA: RONALDO TRỪNG PHẠT ĐỐI THỦ,NỐI DÀI KỶ LỤC-VÒNG LOẠI EURO 2024",TV360 Thể Thao,"['tv360 thể thao', 'hghlights bồ đào nha', 'highlights bóng đá', 'highlights liechtenstein - bồ đào nha', 'highlights bồ đào nha liechtenstein', 'highlights bồ đào nha vs liechtenstein', 'bồ đào nha', 'bồ đào nha liechtenstein', 'bồ đào nha vs liechtenstein', 'highlight bồ đào nha', 'highlights bồ đào nha', 'bồ đào nha highlight', 'bđn vs liechtenstein', 'bồ đào nha ronaldo', 'highlights euro 2024', 'vòng loại euro 2024', 'euro 2024 bồ đào nha', 'highlight bong da', 'tv360', 'highlights', 'ronaldo', 'ronaldo bàn thắng']",PT10M21S,2d,hd,false,True,{},rectangular,1364410,24109,0,1331
zmCPfXo370c,2023-11-10T13:56:10Z,UCyjEHiz7k315xJkBrFtQViw,Tỏ Tình Hoàn Mỹ Mùa 2 Tập 16 P2: MỸ NHÂN CHUYỂN GIỚI Mỹm Trần bị NYC từ chối và HAPPY ENDING vỡ òa?,Hẹn Hò Hoàn Mỹ,"['hẹn hò hoàn mỹ', 'tỏ tình hoàn mỹ', 'ngôn tình hoàn mỹ', 'show hẹn hò', 'tỏ tình', 'vì yêu mà đến', 'tình yêu hoàn mỹ', 'tỏ tình hoàn mỹ mùa 2', 'tỏ tình hoàn mỹ tập 16', 'tỏ tình hoàn mỹ tập 16 mùa 2', 'tỏ tình tập 16', 'tập 16 phần 2 tỏ tình hoàn mỹ', 'tỏ tình phần 2 tập 16', 'hẹn hò hoàn mỹ tập 16', 'Mỹm Trần tập 16', 'Lâm Khánh Chi thuyết phục Lohan giành lấy tình yêu của Mỹm Trần', 'lâm khánh chi tỏ tình', 'lâm khánh chi tỏ tình hoàn mỹ', 'MỸ NHÂN CHUYỂN GIỚI Mỹm Trần bị NYC từ chối và HAPPY ENDING vỡ òa?']",PT1H24M39S,2d,hd,false,True,{},rectangular,1664081,25537,0,5759
hD7cLb4DhGo,2023-11-07T04:40:01Z,UCtVt72Xq0qMvRSfyDDiqHhw,TÌM EM CÂU VÍ SÔNG LAM - A PÁO | Tiếng hát dạt dào cảm xúc của người con xứ Nghệ A Páo,MEGA GS MUSIC,"['sàn chiến giọng hát', 'san chien giong hat', 'mega gs', 'sàn chiến', 'giong hat', 'mega gs entertainment', 'sàn chiến giọng hát mùa 5', 'san chien giong hat mua 5', 'san chien giong hat mega gs', 'bach cong khanh', 'hồng đào', 'hồng vân', 'kim tử long', 'quang hà', 'san chien giong hat mua 5 mega gs', 'sàn chiến giọng hát mùa 5 mega gs', 'mùa 5 sàn chiến giọng hát', 'mua 5 sàn chien giọng hat', 'tập 9', 'a páo', 'a páo sàn chiến giọng hát', 'tìm em câu ví sông lam a páo', 'tim em cau vi song lam a pao']",PT6M2S,2d,hd,false,True,{},rectangular,3693153,18407,0,2666
ZfwumHZQbXY,2023-11-16T10:30:16Z,UCvbSpyvK5xS_tXyyW7qXM2w,Thắng người giải Rubik 1 tay GIỎI NHẤT VIỆT NAM sẽ nhận được IPHONE 15 PRO MAX,RUBIK BMT,,PT59S,2d,hd,false,True,{},rectangular,797696,23299,0,91
