id,publishedAt,dimension,channelId,title,tags,subscriberCount,viewCount,likeCount,commentCount,tags_count,title_count,trend
T6uymZbt4eA,2022-06-19T14:15:12Z,PT1H28M45S,UCFMEYTv6N64hIL9FlQ_hxBw,"2 Ngày 1 Đêm Việt Nam | Tập 1: Trường Giang chơi chiêu, Kiều Minh Tuấn rớt hết &quot;sĩ diện&quot; vì miếng ăn","['dong tay promotion', 'đông tây promotion', 'htv', 'tvshow', 'gameshow', '2 ngày 1 đêm', '2 ngay 1 dem', '2 ngày 1 đêm việt nam', '2 ngay 1 dem viet nam', '2 days 1 night', '2N1Đ', 'chương trình thực tế 2022', 'game show mới nhất 2022', 'trường giang', 'truong giang', 'kiều minh tuấn', 'kieu minh tuan', 'cris phan', 'dương lâm', 'lê dương bảo lâm', 'ngô kiến huy', 'ngo kien huy', 'duong lam', 'hieuthuhai', 'le duong bao lam', '2 ngày 1 đêm full', '2 ngày 1 đêm tập 1', '2 ngay 1 dem tap 1', 'tập 1 2 ngày 1 đêm', 'tap 1 2 ngay 1 dem']",9030000,22707380,176509,8039,104,23,1
nV6qE21NdGM,2020-03-16T15:15:03Z,PT1H17M20S,UCFMEYTv6N64hIL9FlQ_hxBw,"7 Nụ Cười Xuân | Mùa 3-Tập 17: Thúy Ngân ướt mặt vì được Tiến Luật, Dương Lâm liên tục &quot;xịt khoáng&quot;","['dong tay promotion', 'đông tây promotion', '7 nu cuoi xuan', '7 nụ cười xuân', '7 nụ', '7 nụ cười xuân mùa 3', '7 nu cuoi xuan tap 15', '7 nu cuoi xuan mua 3', 'mùa 3 7 nụ cười xuân', '7 nụ cười xuân htv', 'ninh dương lan ngọc', 'lâm vỹ dạ', 'thúy ngân', 'tập 17 7 nụ cười xuân', '7 nụ cười xuân mua 3 tap 17', '7 nụ cười xuân 17', '7 nu mua cuoi xuan mua 3 tap 17', '7 nụ tập 17', '7 nụ cười xuân tập 17', 'st 7 nụ cười xuân', 'lê dương bảo lâm', 'lê dương bảo lâm 7 nụ cười xuân', '7 nụ cười xuân le duong bao lam']",9030000,21017966,129063,11612,117,22,1
IWYB_poQ-vE,2023-02-26T14:15:10Z,PT1H46M26S,UCFMEYTv6N64hIL9FlQ_hxBw,"2 Ngày 1 Đêm Việt Nam | Tập 31: Cris Phan “lật mặt”, Dương Lâm xây xẩm đánh mất tự chủ","['dong tay promotion', 'đông tây promotion', 'htv', 'promotion', 'tvshow', 'gameshow', '2 ngày 1 đêm', '2 ngay 1 dem', '2 ngày 1 đêm việt nam', '2 ngay 1 dem viet nam', '2 days 1 night', '2N1Đ', 'chương trình thực tế 2022', 'trường giang', 'truong giang', 'kiều minh tuấn', 'kieu minh tuan', 'cris phan', 'dương lâm', 'lê dương bảo lâm', 'ngô kiến huy', 'ngo kien huy', 'hieuthuhai', '2 ngày 1 đêm tập 31', '2 ngay 1 dem tap 31', 'tập 31 2 ngày 1 đêm', 'tap 31 2 ngay 1 dem', '2 ngày 1 đêm ful']",9030000,17157307,105880,7441,94,21,1
DCLCl5NHZUs,2020-03-02T15:15:00Z,PT1H26M37S,UCFMEYTv6N64hIL9FlQ_hxBw,"7 Nụ Cười Xuân | Mùa 3 - Tập 15: Xóm &quot;nhà dơ&quot; BB Trần, Ninh Dương Lan Ngọc, Lâm Vỹ Dạ hội tụ","['dong tay promotion', 'đông tây promotion', '7 nu cuoi xuan', '7 nụ cười xuân', '7 nụ', '7 nụ cười xuân mùa 3', '7 nu cuoi xuan tap 15', '7 nu cuoi xuan mua 3', 'mùa 3 7 nụ cười xuân', '7 nụ cười xuân htv', 'tập 15 7 nụ cười xuân', '7 nụ cười xuân mua 3 tap 15', 'ninh dương lan ngọc', 'lâm vỹ dạ', '7 nụ cười xuân 15', '7 nụ cười xuân tập 15', 'thúy ngân', '7 nụ tập 15', '7 nu mua cuoi xuan mua 3 tap 15', 'bb trần', '7 nụ cười xuân bb trần', 'bb tran', 'bb trần 7 nụ cười xuân', 'bb trần 7 nụ']",9030000,16712674,88786,11351,112,24,1
RjsEOkEaK6Y,2020-03-23T15:15:00Z,PT1H18M32S,UCFMEYTv6N64hIL9FlQ_hxBw,"7 Nụ Cười Xuân | Mùa 3-Tập 18: Lan Ngọc, Puka dùng &quot;chiêu hiểm&quot; đối đầu Tiến Luật, Trương Thế Vinh","['dong tay promotion', 'đông tây promotion', '7 nu cuoi xuan', '7 nụ cười xuân', '7 nụ', '7 nụ cười xuân mùa 3', '7 nu cuoi xuan tap 15', '7 nu cuoi xuan mua 3', 'mùa 3 7 nụ cười xuân', '7 nụ cười xuân htv', 'ninh dương lan ngọc', 'lâm vỹ dạ', 'thúy ngân', 'tập 18 7 nụ cười xuân', '7 nụ cười xuân 18', '7 nu mua cuoi xuan mua 3 tap 18', '7 nụ tập 18', '7 nụ cười xuân tập 18', '7 nụ cười xuân mua 3 tap 18', 'puka']",9030000,15980654,79801,8566,93,21,1
spZV-B1rlZo,2022-06-26T14:15:15Z,PT1H28M51S,UCFMEYTv6N64hIL9FlQ_hxBw,"2 Ngày 1 Đêm Việt Nam|Tập 2: HIEUTHUHAI đòi tắm chung với Trường Giang,chớp cơ hội thả thính Tiểu Vy","['dong tay promotion', 'đông tây promotion', 'htv', 'tvshow', 'gameshow', '2 ngày 1 đêm', '2 ngay 1 dem', '2 ngày 1 đêm việt nam', '2 ngay 1 dem viet nam', '2 days 1 night', '2N1Đ', 'chương trình thực tế 2022', 'game show mới nhất 2022', 'trường giang', 'truong giang', 'kiều minh tuấn', 'kieu minh tuan', 'cris phan', 'dương lâm', 'lê dương bảo lâm', 'ngô kiến huy', 'ngo kien huy', 'hieuthuhai', 'le duong bao lam', '2 ngày 1 đêm full', '2 ngày 1 đêm tập 2', '2 ngay 1 dem tap 2', 'tập 2 2 ngày 1 đêm', 'tap 2 2 ngay 1 dem', 'tiểu vy']",9030000,15299308,126187,5549,104,20,1
6eEpCq34XMo,2021-05-05T14:30:00Z,PT1H24M8S,UCFMEYTv6N64hIL9FlQ_hxBw,"Lạ Lắm À Nha | Tập 11: Trường Giang, Phạm Trưởng &quot;mệt mỏi&quot; với 7749 lần trượt nhịp của Mạc Văn Khoa","['dong tay promotion', 'đông tây promotion', 'htv', 'lạ lắm à nha', 'la lam a nha', 'lạ lắm à nha tập 11', 'la lam a nha tap 11', 'the wall song', 'the wall song vietnam', 'game show 2021', 'game show mới nhất', 'truong giang', 'trường giang', 'la lam a nha 11', 'lạ lắm à nghen', 'lạ lắm à nha 11', 'tâp 11 lạ lắm à nha', 'lạ lắm à nha vtv3', 'mạc văn khoa', 'mac van khoa', 'kha ly', 'phạm trưởng', 'pham truong', 'tú vi', 'tu vi', 'châu khải phong', 'chau khai phong', 'lâm chấn khang', 'lam chan khang']",9030000,15104788,84336,12990,98,22,1
oJd2m9_lkRc,2022-12-18T14:15:08Z,PT1H42M14S,UCFMEYTv6N64hIL9FlQ_hxBw,"2 Ngày 1 Đêm Việt Nam | Tập 21: Dương Lâm làm xiếc lộn đầu, Ngô Kiến Huy đu zipline đi &quot;thỉnh kinh&quot;","['dong tay promotion', 'đông tây promotion', 'htv', 'tvshow', 'gameshow', '2 ngày 1 đêm', '2 ngay 1 dem', '2 ngày 1 đêm việt nam', '2 ngay 1 dem viet nam', '2 days 1 night', '2N1Đ', 'chương trình thực tế 2022', 'trường giang', 'truong giang', 'kiều minh tuấn', 'kieu minh tuan', 'cris phan', 'dương lâm', 'lê dương bảo lâm', 'ngô kiến huy', 'ngo kien huy', 'hieuthuhai', '2 ngày 1 đêm tập 21', '2 ngay 1 dem tap 21', 'tập 21 2 ngày 1 đêm', 'tap 21 2 ngay 1 dem', '2 ngày 1 đêm full', 'phúc mập', 'jongrak', 'will in vietnam', 'will']",9030000,14796277,105042,5978,100,23,1
N3XAPIJ2hG0,2020-02-03T15:15:01Z,PT1H21M59S,UCFMEYTv6N64hIL9FlQ_hxBw,7 Nụ Cười Xuân |Mùa 3-Tập 11: Cười mệt với cách Cris Devil Gamer &quot;chống thính&quot; khi Thúy Ngân tỏ tình,"['dong tay promotion', 'đông tây promotion', '7 nu cuoi xuan', '7 nụ cười xuân', '7 nụ', '7 nụ cười xuân mùa 3', '7 nu cuoi xuan mua 3', 'mùa 3 7 nụ cười xuân', 'trường giang', '7 nụ cười xuân htv', 'lan ngọc', 'ninh dương lan ngọc', 'lâm vỹ dạ', 'thúy ngân', 'ninh duong lan ngoc', 'tiến luật', 'trương thế vinh', '7 nụ cười xuân 11', 'tập 11 7 nụ cười xuân', '7 nu cuoi xuan tap 11', '7 nụ cười xuân tập 11', '7 nụ cười xuân mua 3 tap 11', '7 nu mua cuoi xuan mua 3 tap 11', '7 nụ tập 11', 'cris devil gamer', 'cris phan']",9030000,14782807,82358,4730,110,21,1
i2D_sCDY5Io,2018-12-24T15:00:09Z,PT1H15M26S,UCFMEYTv6N64hIL9FlQ_hxBw,7 Nụ Cười Xuân Mùa 2 | Tập 6 Full HD: Nhà Bảy Nụ Rụng Nụ Trước Giọng Ca Trời Phú Của Puka,"['dong tay promotion', 'đông tây promotion', 'htv', '7 nụ', '7 nu', '7 nụ cười xuân', '7 nu cuoi xuan', 'bay nu cuoi xuan', 'bảy nụ cười xuân', 'TRƯỜNG GIANG', 'TIẾN LUẬT', 'TRƯƠNG THẾ VINH', 'LÂM VỸ DẠ', 'tien luat', 'truong giang', 'lam vy da', '7ncx', 'truong the vinh', '7 nu cuoi xuan mua 2', '7 nụ cười xuân mùa 2', 'Ninh Duong Lan Ngoc', 'Ninh Dương Lan Ngoc', '7 Nu Cuoi Xuan Tap 6', '7 Nu Cuoi Xuan Mua 2 Tap 6', '7 Nụ Cười Xuân Mùa 2 Tập 6', '7 nu cuoi xuan 6', '7 Nụ cười xuân 6']",9030000,14629783,55444,5364,100,23,1
